,Id,Search Keyword,URL,Datetime,Tweet,Sentiment Label,Username,View Count,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates (Latitude),Coordinates (Longitude),Place,Hashtags,Reply to User,Mentioned Users Count,Mentioned Users,User Verified,User Followers Count,User Statuses Count,Year,Month,Day,Kota
1327,1523142883443757056,PPN Naik,https://twitter.com/crispyaice/status/1523142883443757056,2022-05-08 03:28:56,"@sbyfess ppn naik, bbm naik, sembako naik, gajimu engga",2,crispyaice,0,0,0,0,0,in,Twitter for Android,,,,,sbyfess,1,['sbyfess'],False,1631,48182,2022,5,8,nan
1739,1515929346678353920,PPN Naik,https://twitter.com/PSHtwo/status/1515929346678353920,2022-04-18 05:44:55,"@Rakyat_Recehan Buzzer hater taiker otak secuil, paham aturan interpelasi ga? Mau luh ajuin puluhan kali juga, klo ga same kuota nya ga bakal bisa koplak

Mending lu buka mata sama rezim noh, BBM, sembako, PPN, dll naik...IKN mau ngutang juga lagi..layak didemo gede2an",2,PSHtwo,0,0,0,0,0,in,Twitter Web App,,,,,Rakyat_Recehan,1,['Rakyat_Recehan'],False,2,545,2022,4,18,nan
2707,1513814009740365825,PPN Naik,https://twitter.com/ArumBene/status/1513814009740365825,2022-04-12 09:39:19,"bayar indihom naik ternyata tarifnya..
gara2 ppn ya?
beli yoghurt buat abigail jg td naik harganya..
semua naik hanya gajiku yg tydaq naik..
ğŸ¤ªğŸ¤ªğŸ¤ªğŸ¤ªğŸ¤ª",3,ArumBene,0,4,0,2,0,in,Twitter for iPhone,,,,,,0,,False,1007,24959,2022,4,12,nan
3127,1512675702210187266,PPN Naik,https://twitter.com/gunturchan/status/1512675702210187266,2022-04-09 06:16:06,"Gara2 petramax dan ppn naik, harga ayam di Malaysia juga ikutan naik",2,gunturchan,0,0,0,0,0,in,Twitter for Android,,,,,,0,,False,286,8525,2022,4,9,nan
3690,1511516896503296001,PPN Naik,https://twitter.com/Momonsimomon/status/1511516896503296001,2022-04-06 01:31:25,"@herukha2013 @MustakimMuzafie @DNofers @AwalilRizky @msaid_didu Ndak perlu data... cukuplah fakta tarif PPN naik, harga barang yg dimonopoli negara naik bahkan sertifikasi halal menjadi objek PNBP ğŸ˜ŠâœŒï¸",3,Momonsimomon,0,0,0,0,0,in,Twitter for Android,,,,,herukha2013,5,"['herukha2013', 'MustakimMuzafie', 'DNofers', 'AwalilRizky', 'msaid_didu']",False,59,13020,2022,4,6,nan
3710,1511451423476973575,PPN Naik,https://twitter.com/jenoyakiniku/status/1511451423476973575,2022-04-05 21:11:15,Ini pemasukan negara sedikit karena masih ada kontrak sama swasta dan ada yg melanjutkan pembangunan lainnya. 7.000T bakal di ganti sama  sama jalan tol dan ppn naik 11%,2,jenoyakiniku,0,1,0,0,0,in,Twitter for iPhone,,,,,jenoyakiniku,0,,False,1050,21502,2022,4,5,nan
4068,1510780942599655425,PPN Naik,https://twitter.com/bucinbanginho/status/1510780942599655425,2022-04-04 00:47:00,wkwkwkwk mikirin ppn naik jadi 11% keingetan ama @lewdxrcha,1,bucinbanginho,0,1,0,0,0,in,Twitter for Android,,,,,,0,,False,164,11382,2022,4,4,nan
5250,1509823796982788097,PPN Naik,https://twitter.com/seputarpapuaCOM/status/1509823796982788097,2022-04-01 09:23:39,"Mulai Hari ini Tarif PPN Naik 11 Persen, ada Barang dan Jasa Tertentu BebasÂ Pajak https://t.co/2DPRT7viyR",1,seputarpapuaCOM,0,0,0,0,0,in,Jetpack.com,,,,,,0,,False,926,10651,2022,4,1,nan
5379,1509798136981897220,PPN Naik,https://twitter.com/Faynoww/status/1509798136981897220,2022-04-01 07:41:41,"Siang min, mau nanya
PPN per 1 april kan naik 1 persen jadi 11%, tapi saya buat faktur di efaktur PPN nya masih 10%
Mohon pencerahannya ya min, thanks @kring_pajak",2,Faynoww,0,1,0,0,0,in,Twitter for Android,,,,,,1,['kring_pajak'],False,165,7317,2022,4,1,nan
6299,1509703981219528708,PPN Naik,https://twitter.com/gloomyerrday/status/1509703981219528708,2022-04-01 01:27:32,PPN doang naik tp gaji ga naik xixixixi,2,gloomyerrday,0,0,0,0,0,in,Twitter for iPhone,,,,,,0,,False,295,24122,2022,4,1,nan
7284,1509150726836031495,PPN Naik,https://twitter.com/yogisulendra/status/1509150726836031495,2022-03-30 12:49:06,"PPN Naik, bensin naik. Inflasi: https://t.co/7DSqqkE4ql",3,yogisulendra,0,1,0,0,0,in,Twitter for iPhone,,,,,,0,,False,266,9098,2022,3,30,nan
7413,1509060565301297152,PPN Naik,https://twitter.com/helsskz/status/1509060565301297152,2022-03-30 06:50:50,ppn naik gini angkanya jdi jelek,1,helsskz,0,3,0,0,0,in,Twitter for iPhone,,,,,,0,,False,250,12693,2022,3,30,nan
7491,1508985688808689672,PPN Naik,https://twitter.com/goseolcom/status/1508985688808689672,2022-03-30 01:53:18,Ekonom Duga Tarif PPN Naik untuk BiayaiÂ IKN https://t.co/x7sZmyqsYD,1,goseolcom,0,0,0,0,0,in,Jetpack.com,,,,,,0,,False,22,9471,2022,3,30,nan
8529,1505868382570434561,PPN Naik,https://twitter.com/RestinaSiagian/status/1505868382570434561,2022-03-21 11:26:14,"Duh Apes! PPN di RI Bakal Naik, Negara Lain Malah Turun https://t.co/8MZ7tP2gO5",1,RestinaSiagian,0,0,0,0,0,in,Twitter for Android,,,,,,0,,False,1413,15300,2022,3,21,nan
10462,1403588475706740736,PPN Naik,https://twitter.com/danil_adp/status/1403588475706740736,2021-06-12 05:42:24,"@detikcom Iyaa sih naik dong, putuskan aja pak ppn smua nya kan lumayan nambah2",2,danil_adp,0,1,0,0,0,in,Twitter for iPhone,,,,,detikcom,1,['detikcom'],False,556,29952,2021,6,12,nan
11248,1394185403435937798,PPN Naik,https://twitter.com/Alfamaulana01/status/1394185403435937798,2021-05-17 06:57:57,"@RamliRizal Tarif PPN naik, masy menengah kecil menjerit. PPh naik, Pengusaha dan masy kelas atas protes keberatan. Semua ada perhitungannya dan pertimbangannya.",1,Alfamaulana01,0,0,1,3,0,in,Twitter for Android,,,,,RamliRizal,1,['RamliRizal'],False,80,6373,2021,5,17,nan
17837,1599184022617616385,PPN 11%,https://twitter.com/IndiHomeCare/status/1599184022617616385,2022-12-03 23:29:17,"@_fionals 2. Kecepatan 50 Mbps harga Rp4 70.00 0,00/bulan belum PPN 11% (Sudah termasuk sewa Modem Rp30.00 0,00) dengan benefit optimum perangkat 12 device. (3/4) -Dfit",1,IndiHomeCare,0,0,0,0,0,in,Sociomedio Pro Enterprise,,,,,_fionals,1,['_fionals'],True,162139,745054,2022,12,3,nan
17951,1598366264581246977,PPN 11%,https://twitter.com/twinstarr_Go/status/1598366264581246977,2022-12-01 17:19:48,"âœ¨ï¸OPEN JASTIP KWANGYA STORE JAKARTAâœ¨ï¸

âœ…ï¸Open Order All Fandom
âœ…ï¸fee jastip 
ğŸ’°10k/barang kecil (keyring, mirror, dll)
ğŸ’°15k barang besar (album, lighstick, binder, dll)
âœ…ï¸Dp seharga barang (belum termasuk ppn 11%)
âœ…ï¸refund 100% jika barang sold
âœ…ï¸Ada Go
ğŸ“jkt",3,twinstarr_Go,0,2,0,0,0,in,Twitter for Android,,,,,,0,,False,386,12430,2022,12,1,nan
19646,1567531320435408897,PPN 11%,https://twitter.com/IndiHomeCare/status/1567531320435408897,2022-09-07 15:12:44,"@zas239 Halo, Kak Zas.
Agil informasikan untuk berlangganan fitur Disney+ Hotstar Rp30.000,00 / Bulan (belum PPN 11%) ya Kak. Terima kasih. -Agil",3,IndiHomeCare,0,2,0,0,0,in,Socio Enterprise,,,,,zas239,1,['zas239'],True,162139,745056,2022,9,7,nan
24469,1513834472386359296,PPN 11%,https://twitter.com/IndiHomeCare/status/1513834472386359296,2022-04-12 11:00:38,"@bumiasia07 Halo, Kak Kanit. Homie bantu informasikan harga berlangganan Vidio adalah Rp29 .00 0,00 sudah termasuk PPN 11%. Yuk segera registrasi melalui IndiHome TV-nya agar bisa menikmati siaran menariknya.... https://t.co/MfpR1E8M63",2,IndiHomeCare,0,0,0,0,0,in,Sociomedio Pro Webhook,,,,,bumiasia07,1,['bumiasia07'],True,162143,745068,2022,4,12,nan
25004,1512441841408307203,PPN 11%,https://twitter.com/william_dakhi/status/1512441841408307203,2022-04-08 14:46:49,"@Gesichtspunkt_ @Fjrnrm @kumparan Yg kena PPN 11% itu biaya administrasi (fee) top up, bukan nominal saldo yg diisi. Pajaknya kemungkinan sangat besar bakal  dikenakan ke pelanggannya pastinya.",2,william_dakhi,0,0,1,10,0,in,Twitter for Android,,,,,diahpeweix8,2,"['Fjrnrm', 'kumparan']",False,30,6249,2022,4,8,nan
25666,1511679154005381125,PPN 11%,https://twitter.com/SayNoTo10/status/1511679154005381125,2022-04-06 12:16:10,"@okezonenews 10 persen aja lah, jangan 11 persen kayak PPN aja",3,SayNoTo10,0,0,0,0,0,in,Twitter for Android,,,,,okezonenews,1,['okezonenews'],False,99,2552,2022,4,6,nan
26446,1510610903208988674,PPN 11%,https://twitter.com/VettyVutty/status/1510610903208988674,2022-04-03 13:31:19,"Mulai 1 April 2022 Jumat ini, Pemerintah resmi menaikkan Pajak Pertambahan Nilai (PPN) dari 10 persen menjadi 11 persen sesuai dengan Undang-Undang Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan (HPP)

*KSP MOELDOKO https://t.co/YMZclQy7BM",1,VettyVutty,0,0,8,8,0,in,Twitter Web App,,,,,VettyVutty,0,,False,873,11477,2022,4,3,nan
28028,1509765060171759619,PPN 11%,https://twitter.com/yoonbeniyo/status/1509765060171759619,2022-04-01 05:30:15,Buset ppn 11% ğŸ˜­. Ini kenapa sih indonesiaa. Takut bange lohğŸ˜­.,3,yoonbeniyo,0,0,0,1,0,in,Twitter for iPhone,,,,,,0,,False,1205,6555,2022,4,1,nan
32366,1501865993244581892,PPN 11%,https://twitter.com/viianiza/status/1501865993244581892,2022-03-10 10:22:10,Ya Allah.. ppn pascabayar jadi 11% ğŸ¥²,3,viianiza,0,0,0,0,0,in,Twitter for Android,,,,,,0,,False,422,25960,2022,3,10,nan
33430,1463144886278909952,PPN 11%,https://twitter.com/humas_smd/status/1463144886278909952,2021-11-23 13:58:19,"Pemerintah Daerah Kabupaten Sumedang menerima kunjungan Staf Ahli Kementerian Perencanaan Pembangunan Nasional/Badan Perencanaan Pembangunan Nasional (PPN/Bappenas). Selasa, (23/11/2021) https://t.co/1K5treUJiT",1,humas_smd,0,0,0,1,0,in,Twitter for Android,,,,,,0,,False,1251,11869,2021,11,23,nan
33788,1455111612860284931,PPN 11%,https://twitter.com/mamaaini_11/status/1455111612860284931,2021-11-01 09:56:57,@kepat_ppn à¹‚à¸« à¸«à¸™à¸¹à¸à¸¶à¹ˆà¸‡à¹€à¸«à¹‡à¸™à¸™ğŸ¥º,1,mamaaini_11,0,0,0,0,0,th,Twitter for Android,,,,,kepat_ppn,1,['kepat_ppn'],False,643,24629,2021,11,1,nan
42558,1519729175296299008,Kenaikan PPN,https://twitter.com/fahmisahab8/status/1519729175296299008,2022-04-28 17:24:05,@frengky_batak84 @wingkyp @jokowi Saya dapat enail dari pinjol online!! Mereka akan menyesuaikan kenaikan ppn ini!! Kasian asn yg pada kreditan!! Ancor sudah,3,fahmisahab8,0,0,0,0,0,in,Twitter for iPhone,,,,,frengky_batak84,3,"['frengky_batak84', 'wingkyp', 'jokowi']",False,24,704,2022,4,28,nan
43809,1510054967578861571,Kenaikan PPN,https://twitter.com/erwinsyahrony/status/1510054967578861571,2022-04-02 00:42:14,"@msaid_didu Kenaikan PPN digunakan utk memperbaiki ekonomi negara, akibat pendemi global. Tdk cm Indonesia, hampir semua negara mengalami. Itu pandangan saya.",3,erwinsyahrony,0,0,0,0,0,in,Twitter Web App,,,,,msaid_didu,1,['msaid_didu'],False,340,13596,2022,4,2,nan
44020,1509768499077730307,Kenaikan PPN,https://twitter.com/rahayupuspa7/status/1509768499077730307,2022-04-01 05:43:54,"Walaupun terjadi kenaikan PPN, Pemerintah akan terus memantau perkembangan harga di masyarakat.",2,rahayupuspa7,0,0,3,3,0,in,Twitter for iPhone,,,,,rahayupuspa7,0,,False,1899,1489,2022,4,1,nan
46231,1391277654934917121,Kenaikan PPN,https://twitter.com/Bisniscom/status/1391277654934917121,2021-05-09 06:23:36,"Usulan Kenaikan PPN, DPR: Menjaga APBN Tetap Sehat https://t.co/SmLVqJ1epY",2,Bisniscom,0,1,0,0,2,in,dlvr.it,,,,,,0,,True,1152300,1447513,2021,5,9,nan
