word_to_change,standard_word
byk,banyak
sorry,maaf
yg,yang
ngeluh,keluh
taxmin,administrator
atw,atau
g,tidak
gk,tidak
imbas,dampak
lu,anda
gua,saya
gw,saya
pls,tolong
please,tolong
ga,tidak
karna,karena
voucher,kupon
dr,dari
kelar,selesai
ama,dengan
ap,apa
tdk,tidak
ojol,ojek
musti,harus
taun,tahun
dpt,dapat
ajah,saja
jga,juga
ngaruh,pengaruh
kmrn,kemarin
ka,kakak
kak,kakak
gugling,cari
btw,omong omong
rmh,rumah
rebu,rabu
jgn,jangan
jngan,jangan
include,termasuk
rs,rumah sakit,
kepingin,ingin
kepengen,ingin
daftarin,daftar
gmn,bagaimana
yha,yah
gada,tidak ada
lho,loh
jg,juga
tp,tapi
loe,anda
sampe,sampai
kaga,tidak
ngarti,tahu
ame,dengan
blm,belum
piye,bagaimana
mutar,putar
sdm,sumber daya manusia
org,orang
nggak,tidak
dsb,dan sebagainya
emboh,tidak tahu
embo,tidak tahu
naikin,naikan
sodara,saudara
bbrp,beberapa
brp,berapa
tida,tidak
bner,benar
sdh,sudah
sy,saya
gaero,tidak tahu
knpa,kenapa
lha,lah
klo,kalau
discount,potongan harga
brg,barang
gegara,karena
aza,saja
jt,juta
kek,seperti
skrg,sekarang
service,jasa
tenan,sekali
utk,untuk
mk,maka
dgn,dengan
sprt,seperti
it,itu
negar,negara
demand,permintaan
dst,dan seterusnya
blom,belum
jln,jalan
wong,orang
ngak,tidak
lgka,langka
w,saya
gue,saya
si,sih
gaz,gas
dll,dan lain lain
trus,lalu
ngaruhnya,pengaruh
wes,sudah
gak,tidak
gpp,tidak apa apa
tpi,tapi
kalo,kalau
skrng,sekarang
min,administrator
until,sampai
now,sekarang
bener,benar
ngotot,memaksa
mcm,macam
kl,kalau
lg,lagi
bukn,bukan
adlh,adalah
hrs,harus
mumgkin,mungkin
mo,mau
kyk,seperti
jd,jadi
jl,jalan
tb,tiba
rp,rupiah
ntr,nanti
cuan,uang
hbs,habis
dripd,daripada
stlh,setelah
sbnrnya,sebenarnya
ggr,karena
bgt,banget